file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter1/section2/subsection1/04_factorial_iterative_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/05_inc_dec_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/06_plus_example.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/07.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/08.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/09_ackermann_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/10_ackermann_example.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/11.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/12.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/13_fghk_definition.scm	scheme	ok	ok	ok	ok	
