file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter4/section4/subsection1/43_rules_3.scm	embedded-query	1	1	-	-	cons-stream,delay,false,force,read,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection1/44_rules_4.scm	embedded-query	1	1	-	-	cons-stream,delay,false,force,read,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection1/45_rules_5.scm	embedded-query	1	1	-	-	cons-stream,delay,false,force,read,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection1/46_rules_5_example.scm	embedded-query	ok	ok	ok	ok	
chapter4/section4/subsection1/47_append_to_form.scm	embedded-query	1	1	-	-	
chapter4/section4/subsection1/48_append_to_form_just_the_rules.scm	embedded-query	ok	ok	ok	ok	
chapter4/section4/subsection1/49_append_to_form_example_1.scm	embedded-query	ok	ok	ok	ok	
chapter4/section4/subsection1/50_append_to_form_example_2.scm	embedded-query	1	1	-	-	
chapter4/section4/subsection1/51_append_to_form_example_3.scm	embedded-query	1	1	-	-	
chapter4/section4/subsection1/52_append_to_form_example_4.scm	embedded-query	1	1	-	-	
chapter4/section4/subsection4/01_lp_header.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/02_query_driver_loop.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,read,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection4/03_query_driver_loop_example.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/04_process_query_example_1.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/05_process_query.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/06_evaluate_query.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection4/07_simple_query.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-append,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream,true
chapter4/section4/subsection4/08_conjoin.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-null?
chapter4/section4/subsection4/09_put_and.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-null?
chapter4/section4/subsection4/10_disjoin.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-null?,the-empty-stream
chapter4/section4/subsection4/11_negate.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream
chapter4/section4/subsection4/12_compound_queries_5_example.scm	scheme	ok	ok	ok	ok	
chapter4/section4/subsection4/13_javascript_predicate.scm	fragment	1	ok	ok	ok	cons-stream,delay,false,force,stream-car,stream-cdr,stream-map,stream-null?,the-empty-stream
chapter4/section4/subsection4/14_execute.scm	fragment	ok	ok	ok	ok	eval,user-initial-environment
chapter4/section4/subsection4/15_always_true.scm	scheme	ok	ok	ok	ok	false
